"N_Policy","Company","Category","Char","Started","Expired","District","Gross","Net","Commissions","id"
"70155412","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΑΡΤ6944","14/04/2024","14/10/2024","ΑΙΤΩΛΟΑΚΑΡΝΑΝΙΑΣ",13.63,9.83,2.36,28
"729187","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΙΚΥ7633","04/02/2024","04/08/2024","ΑΤΤΙΚΗΣ",2,1.45,0.16,10
"61516765","myZen by Groupama","ΑΥΤΟΚΙΝΗΤΟ","ΙΚΥ7633","04/02/2024","04/08/2024","ΑΤΤΙΚΗΣ",115.58,82.68,4.16,10
"212399757","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΚΥ7633","04/02/2024","04/08/2024","ΑΤΤΙΚΗΣ",13.63,9.83,1.38,10
"33733956","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΒΚΙ9943","19/10/2023","19/01/2024","ΑΤΤΙΚΗΣ",94.55,64.83,6.48,13
"641813","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΒΚΙ9943","19/10/2023","19/01/2024","ΑΤΤΙΚΗΣ",1,0.72,0.08,13
"958065","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΒΚΙ9943","19/10/2023","19/01/2024","ΑΤΤΙΚΗΣ",6,4.18,1,13
"33783991","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΟΥΝ546","06/12/2023","06/06/2024","ΚΑΛΛΙΘΕΑ",58.68,40.08,4.01,13
"680566","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΟΥΝ546","06/12/2023","06/06/2024","ΚΑΛΛΙΘΕΑ",2,1.45,0.16,13
"70200774","ΙΝΤΕΡΑΜΕΡΙΚΑΝ","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΟΥΝ546","06/06/2024","06/12/2024","ΚΑΛΛΙΘΕΑ",13.63,9.83,2.36,13
"815548","ARAG","ΝΟΜΙΚΗ ΠΡΟΣΤΑΣΙΑ","ΟΥΝ546","06/06/2024","06/12/2024","ΚΑΛΛΙΘΕΑ",2.5,1.81,0.4,13
"33783991","ANYTIME","ΑΥΤΟΚΙΝΗΤΟ","ΟΥΝ546","06/06/2024","06/12/2024","ΚΑΛΛΙΘΕΑ",58.15,39.71,3.97,13
"965471","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΟΥΝ546","06/12/2023","06/06/2024","ΚΑΛΛΙΘΕΑ",12,8.34,2,13
"1892754","ΑΤΛΑΝΤΙΚΗ ΕΝΩΣΗ","ΑΥΤΟΚΙΝΗΤΟ","ΙΖΥ154","16/10/2023","16/04/2024","ΑΤΤΙΚΗΣ",89.5,58.33,12.26,1
"955798","EUROP ASSISTANCE","ΟΔΙΚΗ ΒΟΗΘΕΙΑ","ΙΖΥ154","16/10/2023","16/04/2024","ΑΤΤΙΚΗΣ",12,8.34,2,1
"1955916","ΑΤΛΑΝΤΙΚΗ ΕΝΩΣΗ","ΑΥΤΟΚΙΝΗΤΟ","ΙΖΥ154","16/04/2024","16/10/2024","ΑΤΤΙΚΗΣ",89.5,58.33,12.26,1
